Gene,Score
DHX9,0.54497534
NR5A1,0.54489636
DDIT4,0.54476386
RGMA,0.54472065
LGALS12,0.54455817
TPP2,0.54455525
PGR,0.5444033
KIF22,0.5443885
CRYAB,0.54419374
OGG1,0.54416925
GABBR2,0.5438604
GANAB,0.5436415
NPR1,0.5435415
CPN2,0.54342455
TIAM1,0.54340804
SPAG17,0.543383
SMG1,0.5432501
SH2B1,0.5424293
SLC4A8,0.54238826
HDGF,0.542212
PLEKHG6,0.5420626
NLRP1,0.54185563
HOXA10,0.5418443
PCDHGB4,0.54177123
CHRNB2,0.54176754
MSX2,0.5413207
IKZF3,0.54121846
BIRC3,0.54117745
PLAU,0.5411499
ACLY,0.54106635
WDR77,0.5408752
CBX4,0.5406471
DET1,0.5405983
ALDOB,0.54054236
IQCB1,0.54052705
PTCRA,0.5405032
ANAPC11,0.54045856
ERLIN2,0.5402466
OVGP1,0.5402455
ATXN2,0.5402029
CAMKK2,0.5401564
PELP1,0.5400161
VPS33B,0.5399669
TRPV5,0.53966665
MYADM,0.5394588
PHTF1,0.5391234
CHI3L1,0.5391106
ANAPC2,0.5388387
APP,0.5387772
IFNE,0.5386495
OCRL,0.5385415
NR0B1,0.53827274
CCKBR,0.5382671
HOMER1,0.53816503
IL6R,0.53815156
CRX,0.53814447
GPRC5A,0.53807414
CASP1,0.5380587
PCDHA8,0.5379895
PARD6G,0.53754795
CDH11,0.5373277
HIST1H2AM,0.5371387
BAAT,0.5371258
NRSN1,0.5370527
XPO5,0.53703225
SSBP1,0.5369848
APPL2,0.53674126
DCX,0.5366714
RNASE7,0.5366113
HMGCS2,0.5365917
USP19,0.5365843
SLITRK5,0.53654253
SYNJ2,0.53650963
ESRP2,0.5364024
DPYSL2,0.5363352
RNF216,0.53631777
SYCP2,0.53627706
SDC2,0.53620625
SASS6,0.53608084
IPO8,0.53604454
VEPH1,0.53599775
SYN2,0.53598297
PSMC6,0.535712
GALNT8,0.53554404
MRGPRX1,0.5353027
CCDC50,0.5352561
MAP1S,0.5352508
ZNF112,0.53522676
DNTTIP1,0.53519964
PSG5,0.5351808
ARHGAP10,0.53500575
NNAT,0.5349036
NFYA,0.5348448
MUC7,0.53476787
ZBTB49,0.53447074
SARS,0.53439176
PKLR,0.53438145
SLC19A3,0.53430057
DBNDD2,0.5340702
SPRY3,0.53402317
UCHL1,0.53395456
ARID4A,0.5338248
IL18R1,0.53369445
SLC18A2,0.5336398
ENG,0.53352267
TRPC1,0.5334525
LMNA,0.53340966
PPP2R1B,0.53320134
MYO3B,0.5331801
MYO1E,0.5331478
ABCG8,0.53289765
NPY1R,0.53263193
CD34,0.5323482
MTMR1,0.5322885
PSG4,0.5320769
SRGAP1,0.5320129
TWIST1,0.53194237
BRINP3,0.5317754
GCK,0.5315247
IRF1,0.5312219
RPRD2,0.53120565
PIH1D1,0.5307257
TNFRSF14,0.53068984
ZNF160,0.5305665
STIL,0.5304603
CD1A,0.53046024
THRA,0.5303145
FIBP,0.5302083
ZSWIM7,0.53011966
CLK2,0.5301141
CLU,0.53008765
GZMA,0.5299782
PTPN23,0.5299638
GBE1,0.52988905
TSHR,0.52983296
CABLES1,0.52975196
RPAIN,0.5293744
GIT1,0.5293622
CORO2B,0.5292728
HIPK3,0.52897906
MYOZ2,0.5283686
SPTBN5,0.5282244
TNMD,0.5279776
GCM2,0.52784234
KRT79,0.5277412
TDP1,0.5277344
L1CAM,0.52749026
NRP1,0.52735883
SLC25A53,0.5272834
CHN1,0.5271983
CCDC6,0.52717555
YAP1,0.52716625
DPF2,0.5271384
PLP1,0.52713054
PMEPA1,0.5270633
ZBTB7A,0.5269561
JUNB,0.52660525
NFYC,0.5265058
OLIG1,0.526256
CCT2,0.52623147
UBB,0.5261205
CD200R1,0.5261059
UNC119,0.5260077
HIST2H3C,0.5259566
LIMK2,0.525886
LINGO1,0.5256998
ZMYND10,0.5256984
LNX1,0.5256905
PRMT7,0.5256658
WHRN,0.5255976
AMPD1,0.5253541
TNNI3,0.5252879
APBA1,0.5252857
DSC2,0.5252471
OPRK1,0.52521634
NFIB,0.5250692
SEMA6D,0.5248225
ERAP2,0.5246635
ABCD2,0.52459747
ZBTB34,0.524591
ARHGAP11A,0.52458054
HEY2,0.5245762
TMCO3,0.52454776
RBM17,0.5245298
PAPOLA,0.5242834
PACRG,0.5242831
PCDHA9,0.5242173
RBP4,0.5239495
SCARA5,0.52392864
SKIL,0.5238618
PLB1,0.52383655
MCPH1,0.52372515
PPP1CA,0.5237041
RCAN1,0.52365434
AKR1C2,0.52358884
BCL2A1,0.5235247
PTBP1,0.5229528
GOPC,0.52286047
TFB2M,0.5226883
SUPT7L,0.52267605
UBE2A,0.5226521
LIN7A,0.5226044
CRAT,0.5225001
NCKAP1,0.5224186
NEDD1,0.52240485
NDE1,0.52220494
CD109,0.52219135
TGIF1,0.52210796
GRK7,0.52193296
SUZ12,0.5219041
MAPRE1,0.52189213
PEX1,0.52180237
MBTPS1,0.5217014
IFI27,0.5216927
GLI1,0.52156705
BMPR2,0.5213127
ITIH4,0.52124923
COL25A1,0.5212316
KIF3B,0.5210146
MAP6,0.520936
DGKZ,0.520723
MON2,0.5206369
TNFRSF10D,0.520525
ZMIZ2,0.52052444
DUSP5,0.52041715
ALCAM,0.52022624
CNOT6L,0.5201852
PDCD11,0.5201777
ECT2,0.5200783
CLK3,0.5200249
GZMH,0.5199268
TESK2,0.5199221
ADAMTS7,0.51982415
SET,0.51952606
NR1I2,0.5194978
EPC1,0.5194959
SETD7,0.51949346
CRIPT,0.51932377
UBN2,0.51929235
MFAP5,0.5192851
RGS9,0.51918465
BCL3,0.5190224
OTUD7A,0.51873505
TGM2,0.5187117
PRKAB1,0.5183573
SDF4,0.5179274
TH,0.5178204
MYO1G,0.51777214
ELN,0.517767
SLC5A7,0.517755
KDM3A,0.5177397
CASP6,0.51768357
DNAJB5,0.5176156
MLF1,0.5174794
NFE2,0.51726717
NDFIP2,0.5169756
CDC23,0.5169599
APLP1,0.51678336
NID2,0.5165996
EIF2AK1,0.51658696
TPM2,0.5165826
SCIN,0.51654094
MAF,0.51652235
SPATA13,0.5165035
CYP3A4,0.5164658
GNG11,0.5163541
CCT3,0.51625276
DLX1,0.5157774
B2M,0.51577604
ORC4,0.51573676
DMTF1,0.5156842
ALDOA,0.5156824
HNF1B,0.5155698
ADAMTS1,0.51543033
SNAP25,0.5153873
IDH1,0.51516986
DPF1,0.5151492
MTUS2,0.51509917
CAMK4,0.5150533
PABPC1,0.514878
SLC43A2,0.5148717
AKR1A1,0.5146609
LTF,0.51423573
FIGN,0.51412225
NOC2L,0.5140441
CSNK1G1,0.51402134
YY1AP1,0.51398057
KDM3B,0.5139506
LUZP1,0.51392424
TDG,0.51391673
HOXA5,0.513241
CETN2,0.51321995
RTBDN,0.5131357
ID3,0.5130693
GOLGB1,0.51284194
TACR1,0.5128402
ADAMTS2,0.5127878
COPG1,0.5125885
BTAF1,0.5125878
MED24,0.51258284
CTSB,0.5125383
IFFO1,0.51235163
CCL21,0.5123107
SALL3,0.5122953
NAT10,0.512281
NR1H3,0.51223034
EFEMP2,0.5121375
APPL1,0.51213354
CREM,0.5121277
DACH2,0.5116166
TRIM32,0.5116049
STIP1,0.5115852
FOXP3,0.5115172
SIX4,0.5115159
DBN1,0.5114937
TGIF2,0.511202
CCR1,0.51109856
STAT2,0.5110457
FGF3,0.5110293
RCSD1,0.51098466
FGB,0.5109207
CHAF1A,0.5105125
DGKH,0.5104526
LBR,0.5103987
CAPN3,0.5102931
DGUOK,0.5102475
PHTF2,0.51018345
SIRT7,0.51008564
APOD,0.5100069
GLIS2,0.50996715
PIN1,0.5099451
GPX2,0.5099281
CNGB3,0.50990593
ERC2,0.50988847
MICAL1,0.5097898
ZNF512B,0.5097418
LRSAM1,0.50955105
PLXNB1,0.5095245
CLEC11A,0.5095129
BATF3,0.50949484
RHOBTB2,0.50943565
PACS2,0.5093836
B3GNT4,0.5093175
NEFH,0.5090586
PIK3R4,0.5089895
EPB42,0.5089208
APBB1,0.5089132
NCAPG,0.5088702
NANOS1,0.5087856
TPO,0.508716
GALNT11,0.50841147
TPTE,0.5083309
GYG2,0.50831324
WASL,0.50816554
DENND4A,0.5080906
AP5Z1,0.50807023
RCN1,0.5080431
ANKFY1,0.50797164
HHIP,0.5078486
GABRA1,0.50783575
HIP1,0.5076959
CKAP2L,0.5076705
PTPN1,0.50748074
HBA2,0.50730103
SLC2A14,0.50728697
GNB3,0.5069539
PODXL,0.50680125
SCLT1,0.5067413
MATR3,0.5066115
HIRIP3,0.5065256
TSG101,0.50649095
IRF8,0.50639373
RORC,0.50635386
TUBB,0.5062646
ZNF350,0.5062149
BDKRB2,0.5061963
SERPINA12,0.5061472
BOC,0.50609916
ARHGAP12,0.50597286
PKD1L2,0.505941
ECE1,0.5058043
POU5F1,0.50574386
DAPK1,0.50557745
CEACAM5,0.5052383
SLC22A3,0.50515765
IL1RL2,0.50503933
NUP205,0.5048857
SPAG9,0.50457394
CEP57,0.5044909
CACNG6,0.504433
IRF7,0.5043162
SLC9A3R1,0.50421834
AADAC,0.5042003
FBP2,0.5041926
RND2,0.5040705
NECAP2,0.5040264
BRD7,0.50388724
VHL,0.50383216
CENPJ,0.5037452
CCP110,0.5037165
PCDHGA8,0.50339985
DR1,0.5032424
ADAMTS5,0.5031396
CTU2,0.50296074
CCDC39,0.5026362
DMXL2,0.50251883
ARFGEF1,0.50224805
SHOC2,0.5020471
RANBP6,0.5019491
SETD1A,0.50186056
SMC2,0.5018175
PLG,0.5017689
KCNQ5,0.5017083
BRF1,0.501656
CCT6B,0.5016224
CRY2,0.50128365
HIST1H1A,0.500871
FMNL2,0.50080985
MYO18B,0.50076145
KCNMA1,0.5004235
MARS,0.50027776
MT1A,0.5002773
DNAH7,0.5002342
HABP4,0.50018823
HIST1H1C,0.5001332
NME8,0.500072
RNF2,0.4999287
OCLN,0.49963424
APLP2,0.49962774
SLC38A3,0.49957764
PRMT1,0.49950677
HIST1H4E,0.49949065
NOXA1,0.49944487
GPR143,0.4994149
KIF17,0.49915013
XPO6,0.49907878
OGDH,0.4990518
ACR,0.49881786
SREBF1,0.49878252
DPM1,0.49877176
GLRA3,0.498741
USF1,0.4987002
SLFN11,0.49863604
WWOX,0.4983576
FLII,0.49832714
STK33,0.4983021
SMURF2,0.49798942
DCAF1,0.49789485
GNAI1,0.49765483
F13A1,0.49765003
PPP1R7,0.49762395
PTK6,0.49760127
ASF1B,0.49705204
MYO19,0.49690622
TPTE2,0.49683937
KIF11,0.49663875
FOXG1,0.49662992
PROM1,0.4965427
CRNKL1,0.4963868
ORM2,0.49632668
FSCN1,0.49631035
AGTR1,0.4962399
GRK5,0.49623474
UPF1,0.49620292
MPDZ,0.49618027
FEN1,0.49617907
PTGER3,0.4961658
PAX3,0.4961138
TUB,0.49607298
TOP1,0.49592048
ROBO2,0.4957588
ILDR1,0.49560288
NEFL,0.4955804
RARG,0.4955571
SALL2,0.49555358
SENP6,0.49550685
TNFRSF11A,0.49546143
EFEMP1,0.4954292
CUL2,0.49520066
SRI,0.49515015
FGD5,0.4950646
BRPF1,0.49503526
NXN,0.49487025
SYT12,0.49486995
SUV39H1,0.49476156
CGNL1,0.494565
SOX9,0.4944285
HTATSF1,0.49441168
FANCG,0.49430344
ZNF516,0.49409765
ART5,0.4940718
SEC31A,0.4939118
SYDE1,0.49383876
CIRBP,0.49383825
AFAP1,0.49382946
SLC46A3,0.49379864
PKP3,0.49374065
ZNF215,0.49368823
CARM1,0.49365765
COPS7A,0.49353045
MECP2,0.49352416
ZBTB21,0.4933882
VASP,0.4933866
STK11IP,0.493317
ATF6,0.4932297
MYO9B,0.49322203
KIF24,0.4931307
MARCO,0.49293742
SLC2A12,0.49291772
ATP2A2,0.4928576
FKBP4,0.49276832
HIST1H2BA,0.49260905
UBE2D2,0.49257144
GRK2,0.49253953
ULK3,0.49253124
ATMIN,0.4924855
PRRG2,0.4924577
RFX4,0.49242988
TAL1,0.49222872
ZNF827,0.49220267
HAUS5,0.49213704
KRT9,0.4920635
FHOD3,0.4919684
NUDC,0.49190336
HIST1H4D,0.49182174
LTK,0.49155805
FOXQ1,0.49125332
CENPA,0.4912286
PYCARD,0.49116334
GSTM5,0.49108616
FMO1,0.4909606
MIA3,0.49083996
CHRNA3,0.4907429
NOP56,0.490705
PDE4A,0.4906956
GNG2,0.49066895
FKBP1A,0.4906137
CSK,0.49056852
UST,0.49053696
TOLLIP,0.49039245
MMP1,0.49033138
FPGS,0.49032685
HNRNPC,0.49028078
AJAP1,0.49024558
NCAPH,0.49012244
TAAR1,0.4900548
NEUROD1,0.4898511
FMO5,0.489827
TGM5,0.48981237
IRAK2,0.48968285
ADAM9,0.4896618
ABCB7,0.48935983
SETD3,0.48933104
RBCK1,0.4892064
GYS2,0.48910576
KCNJ1,0.488924
DYNC1LI1,0.4887812
NRG1,0.48860174
ITIH3,0.48847103
SENP3,0.48844868
ZFP36,0.48841193
PECAM1,0.48841092
PCDHGA5,0.48839444
NR2C2AP,0.48838806
LRRCC1,0.48829874
CEP97,0.4880421
PDLIM2,0.48791957
SLC13A2,0.48791355
MSL1,0.48789585
PPHLN1,0.4878794
SMO,0.48779213
EPC2,0.48767063
ZNF135,0.48747346
ABCA5,0.48739886
CTSG,0.48736554
NAPA,0.48725832
GLP2R,0.4872042
PIAS2,0.48716792
ZNF75A,0.4870623
STK10,0.48696098
WWTR1,0.48681584
SECISBP2,0.486719
CDC37L1,0.48652124
MRGPRX3,0.4863423
USP48,0.48632824
DNAI1,0.48631033
CASP10,0.48619342
ENPP1,0.48602507
CD5,0.4859075
SUMO3,0.4858968
EPHA8,0.48589468
PLSCR4,0.4858923
CXCR4,0.4855847
MARK3,0.4855493
SPRED2,0.4853205
SLIT3,0.48514357
HOMER2,0.48453656
CSAD,0.48452756
ZNF518B,0.48445222
LBH,0.4844022
MYO1F,0.48432893
CFL1,0.48431367
HOMEZ,0.48427036
EIF3K,0.48405448
SS18,0.4840337
CEACAM21,0.48398203
TBC1D4,0.48380536
PCDHB16,0.4837664
PER1,0.48361608
NUFIP1,0.48355937
MEOX2,0.48350352
STARD13,0.48349348
ZNF234,0.48346668
HPN,0.48342282
TCOF1,0.48339185
SEMA3E,0.4832784
RIPK2,0.48315147
DENND1B,0.4831154
MATK,0.4829697
DISC1,0.48295012
MYH3,0.48280382
RBPJL,0.4826688
DRD2,0.48260716
EPB41,0.48243174
MMP13,0.48212054
PPP1R15A,0.4821059
JRKL,0.48187694
NR2E3,0.48179644
HIST1H2BK,0.48174787
TFAP2B,0.48168048
IGF2BP2,0.48162267
HSD11B1,0.48160326
TANC1,0.48147932
TRERF1,0.48146883
PICALM,0.4814682
RNF111,0.48146245
EHMT2,0.48141754
MLXIPL,0.48136693
S100A1,0.48133034
HMBS,0.48121017
CNDP1,0.4810596
XRRA1,0.48095453
KRT18,0.4807136
EFHD2,0.48040268
ID1,0.4803104
MTMR9,0.48026806
CBX5,0.4801729
SIN3B,0.47998667
ADCY1,0.4799044
XPA,0.47987553
PIP4K2C,0.47980866
SMAD6,0.47974885
CDA,0.47970507
PDCD4,0.4796897
NKAP,0.4795892
TRIM27,0.47949347
PKP4,0.47939646
SSH1,0.47922996
PGK1,0.47914642
SYT1,0.47914422
SPRY2,0.47897795
RAB3C,0.47891882
CAND1,0.4788027
EXOC5,0.47857478
ARHGAP15,0.47856185
DAB2IP,0.47816962
STK35,0.47809538
TRIM63,0.47793958
RECQL5,0.47786498
MYOZ1,0.47784188
SRL,0.47780383
ZNF189,0.4777127
PFKFB3,0.47766736
IGFBP5,0.47764152
MEIS1,0.4775056
PDLIM7,0.4772348
FOXA3,0.47719592
RGSL1,0.47718528
PRKAR2B,0.4771311
PARP2,0.47711787
RNF4,0.47709626
KNL1,0.4770344
HOXA11,0.47676757
BCL2L10,0.4766651
CDCA8,0.47657427
ASAP1,0.47647277
HMGN1,0.47647116
SLC9A3R2,0.476112
POLK,0.47598904
KCNQ2,0.4759054
DDC,0.47582677
N4BP1,0.4757586
AQP7,0.4757067
XRCC1,0.47563645
TUBB2A,0.47562665
ARHGAP9,0.47539774
PDZD3,0.47532004
ELF3,0.4750936
NEFM,0.47508478
PALLD,0.47507015
DGKI,0.4750016
MKS1,0.47480032
RPL5,0.4746277
CEP290,0.47459435
HRG,0.47457996
FAM110C,0.47451687
TFR2,0.47439986
ANP32A,0.4743738
AKAP8,0.47436252
MARVELD2,0.47421396
CDK11B,0.47413293
PANX1,0.47411266
HUS1,0.473876
HIST1H2BO,0.47372475
ALG13,0.47365284
ALKBH3,0.47351146
ALPK3,0.47348943
IL17RD,0.47344166
EPHA3,0.47305998
CD79B,0.47293782
ZNF131,0.47284794
UTP14A,0.47278723
USP3,0.47278556
VPS39,0.47274828
LPIN1,0.47255036
DEPDC1,0.47243384
HIST1H2BL,0.4721569
PPFIA1,0.47208676
IGF2BP1,0.47203577
TFDP3,0.4720277
ADRA2A,0.47198233
SLC22A14,0.47177845
PPFIBP1,0.4717602
CRABP1,0.47175428
ATOH1,0.47174558
GTPBP1,0.47160417
CBLC,0.47118562
STK38,0.47118127
PCOLCE,0.4711257
TLR9,0.47110772
CEP70,0.47110426
ASCL2,0.47107628
TRIM29,0.47093412
ATF5,0.47091168
BATF,0.47088885
KIF18A,0.4707221
LIG4,0.47056708
CHM,0.4704356
TCERG1,0.47043458
TMF1,0.47043094
BLNK,0.47023168
WFIKKN2,0.47020587
ABCB1,0.47017923
PDE1A,0.46990845
TARS,0.46978328
APBB3,0.4696649
PTPRN,0.46949467
GSDMB,0.46927375
CEP104,0.469144
TGFB1I1,0.46909395
MTCP1,0.46909073
BRMS1,0.46896902
LIN7B,0.46885195
HAX1,0.46883157
ATP1A3,0.46882212
AMHR2,0.46846604
PPP4C,0.46845078
FBXO11,0.46837994
UPF3B,0.46831295
ITGB3BP,0.46831018
DSG2,0.46822423
CAPZB,0.46811047
TXK,0.46810678
KLHL5,0.46801573
LRRTM2,0.46796793
SPARC,0.46796098
RAD51AP1,0.46765664
AHI1,0.46725258
EBF1,0.4671228
SPDL1,0.46709746
ELAVL1,0.46703967
GTF3C1,0.4670068
CDO1,0.46700448
ACE,0.4669897
SEMA4C,0.46689588
NUSAP1,0.4668597
SYTL1,0.46663314
IPO11,0.46658477
FOXC1,0.46653867
CDC42BPG,0.46643952
RFFL,0.46623012
SGCA,0.46615788
MED4,0.46611318
TCP10,0.46604362
TTYH2,0.46600598
SSTR3,0.46586928
ST14,0.46580637
KCNIP3,0.46573943
DOCK5,0.46562392
ZMYND11,0.46537852
PRIM1,0.46487778
HCN2,0.46474683
YBX1,0.4647275
RGS14,0.4645353
COG7,0.46417943
INTS6,0.46416387
GJA1,0.4638946
ELF5,0.46388814
ANXA2,0.4637315
MPHOSPH8,0.46369737
SOX2,0.46359804
TUBB4B,0.4635487
EDNRB,0.4633902
KIF7,0.46337995
SV2C,0.46333182
AICDA,0.46328422
WASF2,0.46314076
APEX1,0.4629215
CNGA1,0.46287712
TUBB4A,0.46278125
DDX23,0.46278062
IL13RA1,0.46276584
DROSHA,0.4627264
PRPF40A,0.46252874
BHLHE41,0.46252573
ERN1,0.4622819
HIST1H4J,0.46226448
LRP8,0.46217003
RAG2,0.46214518
CLINT1,0.46196765
TMOD3,0.46185756
KIR3DL2,0.4617471
GTF2A1,0.4613985
SNX9,0.46127674
OTUB1,0.46127328
GCH1,0.46121186
RECQL,0.46108967
CYP2S1,0.4610784
ESRRG,0.46104535
STRIP1,0.4610031
RFX5,0.4606586
COG2,0.46065232
CCT6A,0.4605619
ZNF580,0.46055713
ACSF3,0.4605452
RND3,0.4605013
DDHD2,0.46048462
SLC9A1,0.46042165
SPINK5,0.4598699
NANOG,0.45982966
LMO4,0.45967644
PIM3,0.45961237
SMARCAD1,0.45947924
TLR10,0.4594556
SMPD4,0.45942113
HEPACAM2,0.4593742
PLCZ1,0.45915627
PAN2,0.45908877
SELP,0.45908335
TOX2,0.45907834
ALX4,0.45870265
SLC16A12,0.4583129
BAG1,0.4581039
GULP1,0.45788136
LPXN,0.45785043
HIST1H2AC,0.4578032
VPS53,0.4577196
PSD4,0.4577042
NUP210,0.45747533
DACH1,0.4572175
ADD3,0.45718557
ADH4,0.45711994
PPL,0.45700383
MCF2,0.45699483
NPHS1,0.4569754
VGLL1,0.45694888
SLC9A3,0.45678928
FBXL5,0.45677814
CMAS,0.45671418
BAIAP2,0.45671114
EMSY,0.4566726
PTPN18,0.4565861
GEMIN2,0.45646665
SCML1,0.45645055
RFC5,0.4563425
PHRF1,0.45633206
ZNF451,0.45632944
ARHGDIA,0.4562844
SCYL1,0.4562305
MTDH,0.45621622
COIL,0.456113
MPP3,0.45571214
FCN1,0.45538813
INPP5B,0.45534936
FGR,0.4552169
ZNF592,0.4551445
ATP1A2,0.45487696
XAF1,0.45484084
FBXO45,0.45479172
PCDH1,0.45475414
USP33,0.45470387
PLK4,0.45454708
CSPG4,0.45428476
SLC25A21,0.4541683
OPRD1,0.45405215
GTF3C5,0.45382246
PCGF3,0.45379502
SERPINC1,0.45379257
EFNB3,0.4535869
MKRN3,0.4534399
CETN1,0.45334446
SH3GL3,0.45314527
GPLD1,0.45296073
FURIN,0.45289743
CHGB,0.4525793
TIRAP,0.4524546
NFIC,0.4523901
ZNF219,0.45225313
RC3H1,0.45221734
CBLL1,0.45215026
FOXO4,0.45189902
PPP1R10,0.45178255
ZNF266,0.45170075
PRKX,0.45137143
NACC2,0.45118314
NAMPT,0.45117605
LARP7,0.45114207
ATG16L1,0.45087108
BBS2,0.45082155
STAU1,0.45063362
DSE,0.45056692
CAMP,0.45051852
TUBA4A,0.45047462
KLF10,0.45028248
KIF2C,0.45012245
ALDH1A3,0.45008278
LIN9,0.44996852
CIB1,0.44994026
ENAH,0.4498296
HSPA2,0.44977355
CCT4,0.44956338
MCF2L,0.44954127
TANK,0.4494284
CEBPD,0.44934723
PRCC,0.4492916
ARHGDIB,0.4492193
PDZD7,0.44895905
SDC1,0.44895777
PRDX1,0.4489406
EEF2,0.44885635
FGF13,0.44884232
SRRM4,0.44884053
SRPX2,0.448828
SH2D3C,0.44842407
PRKN,0.44839832
WDR45,0.44838744
NAA10,0.44837052
SPP1,0.44831398
ATP7B,0.44825518
KIF2B,0.44819596
DUOX1,0.44817892
EYA2,0.44807613
VWA8,0.44806018
RXRB,0.44788948
ARSK,0.44786948
ULBP2,0.4477974
FER,0.44777808
FRK,0.44753775
TPT1,0.447513
ENO1,0.44743785
CCDC136,0.44720367
SSC5D,0.44668287
RPL36A,0.44663447
SCYL2,0.4463793
MYSM1,0.44635174
TNIP1,0.44629988
DEF6,0.44597548
HEMGN,0.4459696
UMPS,0.4455936
ATRIP,0.44550785
ADCYAP1R1,0.44549042
TRA2B,0.44546762
VARS2,0.4453725
FGFRL1,0.4453645
PHGDH,0.4451858
ACTC1,0.44516563
FMO3,0.44506386
SNIP1,0.4449041
IFI44,0.44469944
RBMXL2,0.444595
TICAM1,0.44446602
TCP1,0.44440436
TTR,0.44432268
PSMA3,0.44419196
UBE2C,0.44417307
HMGA1,0.44396436
PAK6,0.44385794
FNTB,0.443708
ADGRA2,0.44357634
STAM,0.44339988
FSHB,0.4432673
ARHGEF25,0.44307464
ZNF521,0.44295213
AIPL1,0.44289824
AGL,0.44252387
BMP2K,0.4424909
GMDS,0.4423531
ABI2,0.4421887
SOHLH1,0.44215888
PTGFRN,0.44215757
XYLT1,0.44202048
NPM1,0.44200525
EIF5,0.44191146
WDHD1,0.4418997
RMI2,0.44188958
REPS2,0.44187695
KCNA1,0.44187278
COLQ,0.44182435
FANCM,0.44176427
TYRO3,0.44128978
UBA6,0.44121435
ENSA,0.44112164
PHKG1,0.44104463
HIST1H1D,0.44096446
HIC2,0.44092867
MAFA,0.4408182
GABRB2,0.44042483
TRAPPC9,0.44039842
DAPK3,0.44037932
ZNF114,0.44027698
FADD,0.44014677
ATP2A1,0.44007382
CSE1L,0.440049
CALR,0.43997595
PLAUR,0.43983594
HIST1H4B,0.43959203
FHL2,0.43959165
RNGTT,0.4395665
XRCC4,0.43950754
PLXNB2,0.43948683
AVPR2,0.43940598
KCNQ4,0.43929708
JAKMIP1,0.4392694
KDM4B,0.43926358
PATJ,0.43923563
PHOX2B,0.43915653
SDC4,0.43901238
HOXC11,0.43897974
L3MBTL2,0.43891433
ORM1,0.4389
MUSK,0.4387103
PIK3R6,0.43868738
SAP130,0.43866104
TNFRSF17,0.43859094
TUBB2B,0.43847454
BMPER,0.43846476
UGP2,0.43834633
SNTB2,0.4382434
NCAPD2,0.43816978
CXXC5,0.43809408
CORO2A,0.438029
DIRAS3,0.4379381
ZNF618,0.4377021
KIF1C,0.43757078
PREPL,0.4374929
ZNF695,0.43747437
RNF11,0.43747357
PCBP3,0.43730843
BIN1,0.43721408
NUFIP2,0.43708834
SORBS3,0.4370862
PHKA1,0.43706173
SCNN1B,0.43686616
SDHA,0.43686143
ESRRA,0.43681267
ARHGAP17,0.436812
ING4,0.43678302
SDF2,0.43676955
VPS72,0.43648222
GCC2,0.43642378
HPF1,0.43636647
SRA1,0.4362846
LIN7C,0.43622902
MAT2A,0.43619162
UFSP2,0.4360074
STRN3,0.435918
DCP1A,0.43589875
RING1,0.43582663
RASSF9,0.43580204
SHB,0.43567222
RABGAP1,0.43554947
TUBB8,0.43553337
DNAJA3,0.43532345
IFNA10,0.4351987
PCBP2,0.4351417
TRPM8,0.4350243
LRFN1,0.4348112
PINK1,0.43469146
RORA,0.43468317
EIF2B2,0.43451846
RASSF5,0.434454
TRAPPC8,0.434422
MPG,0.4344052
CRTAC1,0.43435177
ZBTB2,0.43406957
CYBB,0.43394217
MPRIP,0.4338643
HIC1,0.4337363
MYCBPAP,0.43354228
RNPS1,0.43346575
ACSS3,0.43344566
GM2A,0.43338946
DPT,0.4333888
GDF5,0.43337843
CD209,0.4330779
NOSTRIN,0.43290687
ARHGAP44,0.4327648
PAFAH1B1,0.43274447
DTNA,0.43255275
ESRRB,0.43253294
UNC5B,0.43248442
FIGNL1,0.4324176
CLTB,0.43240273
MCM10,0.43229303
CYP4F12,0.43213615
CYP4B1,0.4320911
CYP3A7,0.4318708
TFPI2,0.43180686
DIP2C,0.43180633
CACNG1,0.43178508
C19orf12,0.43174934
TMOD2,0.4315228
MCOLN1,0.43149638
PAX7,0.43148923
COMP,0.43147483
MED14,0.4312791
EPHX4,0.4310943
RHOXF1,0.43102187
ABCB4,0.43094325
RNF186,0.43084356
ADCY2,0.43077087
CUL9,0.43057445
LMNB1,0.43047416
STAC,0.43032476
TAF5,0.4303237
TRIM13,0.4302311
TELO2,0.43010122
SH2D2A,0.42994082
POLI,0.42980143
RRAD,0.4297867
6-Mar,0.4297834
CALCR,0.42966512
AREL1,0.42965895
DOC2A,0.42965055
ANKRD26,0.429649
GP6,0.4296288
DBNL,0.42960006
USP10,0.4295801
UNC5A,0.42956012
TCF4,0.4294455
MSL2,0.4292464
AKAP8L,0.42919913
ABCC12,0.42908525
FNIP2,0.4290184
KCNJ4,0.42901814
TM4SF1,0.42898026
GTF2H1,0.42883936
JPH2,0.4287703
DYNLL2,0.42876127
EIF2S2,0.4287122
HAO1,0.42869362
URGCP,0.4286445
HCRTR1,0.42861658
PROS1,0.42857796
SAMHD1,0.42842513
MT2A,0.42839238
ATF7,0.42816907
HIST1H2AK,0.4279082
AP4B1,0.4277065
CITED2,0.42763364
CC2D1A,0.42762673
RP2,0.4276085
KLF2,0.42741594
TACC3,0.4272091
ITPR2,0.4271849
METRN,0.4270476
SOCS6,0.42688066
RAB11FIP2,0.42683452
GATA1,0.42673734
GRAP2,0.4266105
SP4,0.42640832
NR2C1,0.42639634
BMPR1A,0.4263783
